"DEPOSIT.NAME","STATE.or.PROVINCE","COUNTRY","LATITUDE","LONGITUDE","ESTIMATED.LOCATION...Yes.or.No.","RESERVES..RESOURCES.DESIGNATION","RESERVES..RESOURCES.NUMBER","YEARS.NEEDED.TO.DEVELOP","Timeline..1...Short..2...Long.","REE.MINERALOGY","REEs","HEAVY.or.LIGHT","APPLICATIONS","BYPRODUCT...Yes.or.No.","TONNAGE.AND.GRADE","OTHER.ORE.or.SIGNIFICANT.MINERALS","GANGUE.and.ROCKFORMING.MINERALS","AGE..Method..Mineral..Rock.","DEPOSIT.TYPE","HOST.ROCK","COMPANY","COMMENTS","REFERENCES","Icon"
"Bancroft-Haliburton area","Ontario","Canada",45.5,-77.5,"No","Inferred resources",5,9999,1,"Allanite","La, Ce","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys","No","Not Available","U, Th, Apatite, Cordylite, Feldspar, Magnetite, Mica, Fluorite, Garnet, Graphite, Molybdenite, Sodalite, Dolomite","Albite, Pyroxene, Biotite, Quartz, Scapolite","Not Available","Other - Uranium Deposits","Alkaline syenite, Mafic Alkaline rocks, Alkaline granite","Not Available","Occurrence, uncertain; Location is generalized. Uranium deposit with associated rare earths.","Roskill, 1988; Woolley, 1987","wht_blank"
"Bancroft-Haliburton area","Ontario","Canada",45.5,-77.5,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Alkalic Igneous","Not Available","Not Available","Occurrence, uncertain; See listing under uranium deposits.","Woolley, 1987","wht_blank"
"Banda Aceh","Sumatra","Indonesia",5.58333,95.3333,"No","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ti-Magnetite, Zircon","Quartz, Feldspar, Chlorite","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence; In northern Sumatra.","Skillen, 1996a","wht_blank"
"Bang Lin","Rayong","Thailand",12.8333,101.4333,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Cassiterite, Th","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Occurrence, uncertain; Monazite has a high Th content. Lat/Long for middle of Rayong, Thailand","ESCAP and ABMRGG, 1988","wht_blank"
"Bangalore","Mysore/ Bangalore","India",12.9833,77.6,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Uncertain origin","Not Available","Not Available","Occurrence; Lat/Long for Bengaluru, India","ESCAP and ABMRGG, 1988","wht_blank"
"Banka Island (Bangka)","Pulau Banka (Banka Island)","Indonesia",-2.25,106,"No","Proved reserves",1,0,2,"Monazite, Xenotime, Allanite","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","Yes","Not Available","Cassiterite, Ilmenite, Pyrite, Marcasite, Hematite, Rutile, Zircon, Tourmaline","Not Available","Not Available","Placer, Shoreline","Beach sand","Not Available","Possible byproduct of Sn mining; One placer on this island was said to contain too much monazite to permit profitable recovery of cassiterite.","Overstreet, 1967; Moller, 1989a,b; ESCAP and ABMRGG, 1988","grn_circle"
"Baraghoriapara","Moheshkhali Island","Bangladesh",21.58333,91.9333,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.888 Mt @ 0.1% Monazite (1983)","Ilmenite, Rutile, Leucoxene, Zircon","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain; Lat/Long for middle of Moheshkhali Island","ESCAP and ABMRGG, 1988","orange_blank"
"Barra do Itapirapua","Sao Paulo","Brazil",-24.6833,-49.21667,"No","Inferred resources",5,9999,1,"Bastnasite, Ancylite, Synchysite, Parisite","Y, Eu, Gd, Dy, Er, Tm, Lu, Ce, La, Nd","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry, Auto catalysts, Glass additives, Polishing compounds, Batteries, Petroleum refining","No","Not Available","Fluorite, Galena, Barite, Strontianite, Pyrochlore","Calcite, Dolomite, Melilite, Quartz","Not Available","Carbonatite","Carbonatite (sovitic), Nepheline syenite, Pulaskite","Not Available","Occurrence; As much as 6% REE in hematite mine. REE probably from hydrothermal solutions.","Woolley, 1987; Mariano, 1989; Mariano, 1979; Ulbrich and Gomes, 1981","wht_blank"
"Barrytown","South Island/Westland","New Zealand",-42.2333,171.31667,"No","Probable reserves",2,7,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","10.8 Mt @ 0.1-0.3% Monazite (1970's); 73.3 Mt @ 0.001% Monazite or 0.00055% REO (1989)","Ilmenite, Garnet, Magnetite, Zircon, Rutile, Au, U-Thorite, Cassiterite","Quartz, Feldspar","Quaternary","Placer, Shoreline","Sand of nine mile formation","Grampian Mining (199?)","Under development (1988); Marine placer beach and dune sands extending over a distance of 16 km along the coast. Deposit averages 10 m thick.","Towner, 1992; Christie and others, 2000; ESCAP and ABMRGG, 1988; Jackson and Christiansen, 1993; Hedrick, 1993","orange_circle"
"Bastnas","Not Available","Sweden",59.85,15.58333,"Yes","Inferred resources",5,9999,2,"Allanite, Cerianite, Fluocerite","La, Ce","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys","No","Not Available","Hematite","Not Available","Not Available","Metamorphic","Not Available","Not Available","Occurrence, uncertain; Hematite skarn.","Moller, 1989a; Location from http://rruff.geo.arizona.edu/doclib/cm/vol42/CM42_1097.pdf","wht_blank"
"Batang Berjuntai area","Selangor","Malaysia",3.3333,101.5,"No","Proved reserves",1,0,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","Yes","Not Available","Cassiterite, Ilmenite, Zircon, Rutile","Not Available","Quaternary","Placer, Alluvial","Not Available","Not Available","Producer byproduct Monazite/Xentime","Towner and others, 1988; Towner, 1992; ESCAP and ABMRGG, 1988; Hedrick and Templeton, 1991","grn_circle"
"Batang Padang","Selangor","Malaysia",3.98333,101.4333,"Yes","Proved reserves",1,0,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","Yes","Not Available","Cassiterite, Ilmenite, Zircon, Rutile","Not Available","Quaternary","Placer, Alluvial","Not Available","Not Available","Producer byproduct Monazite/Xentime; Lat/Long for Batang Padang, Malaysia","Towner and others, 1988; Towner, 1992; ESCAP and ABMRGG, 1988; Hedrick and Templeton, 1991","grn_circle"
"Bates Hole area","Wyoming","United States of America",42.5833,-106.4333,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Thorite?, Zircon","Not Available","Quaternary","Placer, Alluvial","Sandstone & conglomerate of the Wind River and White River formation, Recent Placers","Not Available","Occurrence; High radioactivity. Lat/Long for Bates Hole Reservoir, Wyoming","King, 1991","wht_blank"
"Batu Gajah","Perak","Malaysia",4.5,101,"Yes","Proved reserves",1,0,1,"Monazite, Xenotime","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","Yes","Not Available","Cassiterite","Not Available","Not Available","Placer, Shoreline","Not Available","Several","Byproduct producer (1988); Lat/Long for city: Batu Gajah","Roskill, 1988","grn_circle"
"Bayan Obo (Baotou)","Inner Mongolia","China",41.75,109.96667,"No","Proved reserves",1,0,1,"Bastnasite, Monazite, Aeschynite, Allanite, Apatite, Parisite, Huanghoite, Fergusonite, Fersmite, Xenotime, Daqingshanite, Cordylite, Carbocernaite, Chevkinite, Britholite","Y, Eu, Gd, Dy, Er, Tm, Lu, La, Ce, Pr, Nd, Sm, Tb, Yb","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry, Petroleum refining, Batteries, Auto catalysts, Glass additives, Polishing compounds, Silicon photovoltaic cells","No","750 Mt @ 4.1% REO; 48 Mt @ 6% REO, 15000 Mt @ 35% Fe; 800 Mt @ 6% REO (1990); 36 Mt REO","Magnetite, Hematite, Fluorite, Apatite, Barite, Nb-rutile, Columbite, Martite, Pyrochlore, Pyrite, Anatase","Dolomite, Quartz, Calcite, Feldspar, Arfvedsonite, Phlogopite, Aegirine, Riebeckite, Biotite","Middle Proterozoic-- 1580 Ma","Carbonatite","Dolomite, Trachyte, Fenite","Not Available","Current producer; Mineral Resource Data System gives location as 41-38N, 110-00E.","Singer, 1998; Drew and others, 1990; Castor, 1994; Mariano, 1989; Moller, 1989a; Jackson and Christiansen, 1993; Lee, 1970; Yuan Zhongxin and others, 1992; Kingsnorth and Harries-Rees, 1993; Wu and others, 1996; Zhang Peishan and others, 1995; Zhou, 1980; Chao and others, 1989; Yuan Zhongxin and others, 2000","grn_circle"
"Bayside (Yoganup North)","Western Australia","Australia",-33.5833,115.5833,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ti, Zr","Not Available","Pliocene-Pleistocene","Placer, Shoreline","Not Available","Consolidated Rutile Ltd.","Exhausted (1998); Exhausted.","O'Driscoll, 1988; Hedrick and Templeton, 1991; Hedrick, 1995, 1996; Location from http://www.australianminesatlas.gov.au/mapping/downloads.jsp#spreadsheets","wht_blank"
"Bear Lodge Mountains","Wyoming","United States of America",44.4833,-104.45,"No","Probable reserves",2,5,2,"Monazite, Xenotime, Ancylite, Bastnasite","Ce, La, Nd, Pr, Sm","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Magnets","No","726 Mt @ 1.306% REO (1978)","Strontianite, Hematite, Thorite, U, Nb, Fluorite, Ba, Magnetite","Aegirine-augitie, Actinolite, Quartz, Feldspar, Calcite, Biotite, Hornblende","38.3 to 50.5 Ma (K-Ar, san,)","Carbonatite","Trachyte, Phonolite, Minor syenite and nepheline syenite, Carbonatite","Rare Element Resources, Ltd.","Large, low-grade resource of REE-Th; Active exploration(2010); Bull Hill deposit extensively explored","Woolley, 1987; Mariano,1989; Jackson and Christiansen, 1993; King, 1991; Mariano, 1981a; USGS, Long, 2010-5220","orange_circle"
"Bear Valley","Idaho","United States of America",44.35,-115.4,"No","Probable reserves",2,7,2,"Monazite; Minor loparite , Xenotime, Fergusonite","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","Total production of 10,000 t REO; 109.9 Mt @ 0.0155% Monazite or 0.010% REO (1982)","Ilmenite, Magnetite, Garnet; Minor zircon, Samarskite, Columbite","Quartz","Pleistocene","Placer, Alluvial","Fluvial Sands, Gravel","Not Available","Small past producer; No active exploration as of 2010; Includes Porter placer.","Anstett, 1986; Jackson and Christiansen, 1993; Castor, 1994; Overstreet, 1967; Schmidt and Mackin, 1970","orange_circle"
"Bearpaw Mountains (Rocky Boy)","Montana","United States of America",48.1667,-109.7333,"No","Inferred resources",5,9999,2,"Ancylite, Burbankite","Ce","Light","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining","No","Not Available","Apatite, Zr, U, Nb, Pyrite, Magnetite, Titanite","Pyroxene, Analcime, Biotite, Augite, Nepheline, Quartz, Calcite, Feldspar","Eocene-- 49-55 Ma (K-Ar)","Carbonatite","Shonkonite, Monzonite, Porphyritic potassic syenite, Pyroxenite","Not Available","Occurrence; Lat-long is for the Rocky Boy stock.","Woolley, 1987; Hearn and others, 1964; Wall and Mariano, 1996","wht_blank"
"Beenup (Scott River)","Western Australia","Australia",-34.1667,115.25,"Yes","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","5% Heavy Minerals","Ilmenite, Zircon","Clay","Pleistocene-Recent","Placer, Shoreline","Not Available","BHP Titanium Minerals Pty. Ltd.","Production ceased 4/99; Deposit contains 20% clay. First prod 1997. Operation closed due to processing problems.","Hedrick, 1995, 1996, 1998; Harben and Kuzvart, 1996; Industrial Minerals, 1999; ESCAP and ABMRGG, 1988; Location from http://www.ga.gov.au/image_cache/GA6886.pdf","ltblu_circle"
"Beihei (Beihai, Peibhai?) District","Guangxi","China",21.4833,109.1,"No","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","1-2% Heavy Minerals; 530 Mt ore (1989)","Ilmenite, Zircon, Rutile","Quartz","Cenozoic","Placer, Shoreline","Coastal Plain Sands","State-owned","Producer byproduct monazite; Mixed river and marine placers along coastline. Ama 60% of mined material may be from river sands. Mined by farmers collectives.","Towner, 1992; Towner and others, 1988; Jackson and Christiansen, 1993; ESCAP and ABMRGG, 1988; Hedrick and Templeton, 1991","grn_circle"
"Beihei District","Guangxi","China",21.4833,109.0833,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Ilmenite, Rutile, Zircon","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Occurrence, uncertain; Mixed river and marine placers along coastline. Lat-long is for town of Beihei along coast but may not be in correct province.","Hedrick and Templeton, 1991; Towner and others, 1988","wht_blank"
"Belitung (Billiton)","Banka-Belitung Island","Indonesia",-2.8333,107.91667,"No","Probable reserves",2,7,2,"Monazite, Xenotime, Allanite","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","Yes","Not Available","Cassiterite, Ilmenite, Pyrite, Marcasite, Hematite, Rutile, Zircon, Tourmaline","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Past small byproduct producer","Hedrick and Templeton, 1991; Overstreet, 1967; ESCAP and ABMRGG, 1988","orange_circle"
"Berhala Island","Not Available","Indonesia",0.8833,104.41667,"Yes","Inferred resources",5,9999,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence; In the Strait of Malacca. Lat/Long for Berhala Island","ESCAP and ABMRGG, 1988","wht_blank"
"Beruwala","Not Available","Sri Lanka",6.48333,79.98333,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Zircon, Ilmenite, Garnet","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain","ESCAP and ABMRGG, 1988; Neary and Highley, 1984; Overstreet, 1967; ESCAP, 1989","wht_blank"
"Bidor Malaya Mine","Not Available","Malaysia",4.1,101.2667,"Yes","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Alluvial","Not Available","Not Available","Producer; Lat/Long for Bidor. http://psasir.upm.edu.my/3768/1/Trace_Element_Concentration_in_Mango_(Mangifera_indica_L.),.pdf","J. Hedrick, 2002, written commun.","grn_circle"
"Big Creek","Idaho","United States of America",44.4667,-115.9833,"No","Probable reserves",2,7,2,"Monazite, Y-loparite, Y-euxenite","La, Ce, Pr, Nd, Sm, Tb, Y, Yb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets, Ceramics, Lasers, Silicon photovoltaic cells","No","10,000 mt REO; 116.1 Mt @ 0.04% Monazite (1982)","Ilmenite, Garnet, Magnetite; Minor zircon","Quartz","Pleistocene","Placer, Alluvial","Fluvial sands","Not Available","Past producer; No active exploration as of 2010","Anstett, 1986; Jackson and Christiansen, 1993; Castor, 1994; Overstreet, 1967","orange_circle"
"Big Creek","Wyoming","United States of America",41.01667,-106.5,"Yes","Inferred resources",5,9999,2,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Other Igneous-Affiliated (including Pegmatites and Veins.)","Not Available","Not Available","Occurrence; T30N, R80-81W","King, 1991; Location from http://www.trails.com/usgs-topo-big-creek-mine-topographic-map-1726169.html","wht_blank"
"Big Spruce Lake","Northwest Territories","Canada",63.55471,-115.905966,"Yes","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Fluorite, Titanite, Apatite, Magnetite","Biotite, Sodalite, Nepheline, Aegirine, Zeolite","1785 Ma (K-Ar, biotite, nepheline syenite)","Carbonatite","Ijoite, Ultramafic rocks, Syenite, Carbonatite","Not Available","Occurrence","Woolley, 1987","wht_blank"
"Bilugyun and Kyaikkami Beach","Not Available","Myanmar",16.333,97.45,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Not Available","Placer, Shoreline","Black sands","Not Available","Occurrence","ESCAP, 1998","wht_blank"
